zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,latitude,longitude
1518,1397,58438,17.8,35.1,126,42.127477,-72.118818
1519,2468,106250,10.1,38.0,202,42.203404,-71.679739
1520,5420,99674,9.7,37.8,560,42.336385,-71.850759
1521,951,78348,8.2,32.6,38,42.046783,-72.180212
1522,1239,104508,7.0,50.7,66,42.375634,-71.867382
1523,2245,104630,8.0,48.0,248,42.483569,-71.675585
1524,2597,64135,19.6,29.6,216,42.249636,-71.919248
1525,94,-,35.1,42.9,44,42.106794,-71.630518
1527,5330,74713,14.9,34.6,1204,42.192246,-71.777649
1529,1158,90500,10.5,42.0,60,42.036642,-71.578779
1531,425,84432,8.4,33.3,36,42.326183,-72.133431
1532,5278,111875,6.9,36.6,1006,42.323342,-71.646236
1534,2236,89348,11.5,37.0,142,42.142074,-71.643348
1535,1818,73133,12.4,32.4,152,42.267564,-72.066876
1536,2759,105283,14.1,39.5,288,42.231309,-71.692642
1537,880,74883,21.1,28.5,132,42.158966,-71.897051
1540,4323,68865,18.4,31.8,472,42.116263,-71.857465
1541,1279,128006,6.3,44.8,140,42.454125,-71.87754
1542,828,100000,4.3,48.4,68,42.204251,-71.908907
1543,2904,100962,5.1,43.6,234,42.388285,-71.969865
1545,12853,101229,9.8,34.3,3204,42.284767,-71.714228
1550,6926,50202,25.9,16.0,634,42.059737,-72.033908
1560,1712,85390,9.9,32.6,120,42.175395,-71.674223
