id,state,county,rate
1850,5421,46102,32.1
1851,10203,52008,25.8
1852,13830,50911,29.4
1854,9542,40982,37.8
1860,2683,84417,13.5
1862,3417,93494,10.5
1863,3888,77055,17.1
1864,5422,124750,7.2
1867,9063,113553,9.9
1876,11413,94817,13.1
1879,4378,101620,11
1880,10335,93337,11.6
1886,8244,138006,5.8
1887,7947,118549,10.2
1890,7928,152196,6.8
1901,916,22057,56
1902,17154,42851,31.8
1904,6345,88395,9.2
1905,8539,57638,24
1906,10210,82188,13.5
1907,5494,105029,12.6
1908,1597,81384,13.6
1913,7025,78638,11.3
1915,16408,77893,17.6
1921,2707,155034,4.2
1922,1050,87986,17.8
1923,10624,79795,14.1
1929,1439,109327,10.6
1930,12906,65348,20.1
1937,0,-,0
1938,5677,80829,16.8
1940,4949,113509,8.4
1944,2106,105500,13.7
1945,8250,110025,10.5
1949,2998,107727,10.9
1950,7881,89887,14.2
1951,1765,90662,7.5
1952,3597,72900,17.5
1960,21251,65060,18.6
1966,3201,72015,17.1
1969,2186,89338,12
1970,18277,65476,23.7
1982,2677,112250,14.3
1983,2237,131387,8.5
1984,1381,96979,12.6
1985,1596,135882,7.9
2019,6347,95533,10.9
2021,9026,96583,12.4
2025,3046,140000,13.3
2026,9865,89451,12.9
2030,2011,204018,1.5
2032,1644,120250,5.4
2035,6626,98199,9
2038,11288,111935,8.7
2043,8712,125144,12.4
2045,4892,80584,18.1
2047,50,26953,0
2048,8471,111141,6.9
2050,9495,92610,13.5
2052,4189,153847,7.8
2053,4642,115432,8.7
2054,3100,100230,10.7
2056,3183,139137,6.7
2061,3632,128563,8
2062,11757,87516,15.4
2066,6650,114766,9.7
2067,6220,133229,6.2
2071,300,115333,0
2072,10724,78343,15.7
2081,7027,105420,10
2090,5528,146042,8
2093,4076,107444,11.9
2108,1888,126224,8.8
2109,1943,129716,9.3
2110,1347,108438,13.2
2111,3202,39329,39.9
2113,4370,91212,13.2
2114,7196,89452,19.4
2115,9258,38759,40.8
2116,11987,103422,19
2118,12514,70575,29.3
2119,11261,30663,44.4
2120,4991,32243,42.6
2121,10471,27964,45
2122,8384,56024,26
2124,19130,50227,30.3
2125,12586,53382,28.7
2126,10027,50039,28.6
2127,17056,91597,21
2128,16286,52154,25.9
2129,8931,103834,21.4
2130,16336,84847,19.6
2131,12480,72127,19.4
2132,11333,93343,15.7
2134,7855,49938,28
2135,19063,61566,25.3
2136,11762,64877,20.8
2138,13542,87671,16.1
2139,14094,91250,16.7
2140,8891,91596,19.5
2141,6437,77261,24.7
2142,1326,120729,13.1
2143,11238,90285,13.4
2144,10792,102033,13.4
2145,10409,68553,18.3
2148,23081,62283,23.2
2149,15521,57143,22.1
2150,12714,51875,26.1
2151,19986,53771,23.4
2152,7747,69928,18.2
2155,22474,86459,16.4
2163,528,64000,27.7
2169,24770,67028,21.1
2170,7766,82159,17.1
2171,7631,78839,15.4
2176,11481,93434,12.7
2180,9062,90320,12
2184,14017,88993,13.2
2186,8970,126000,10.3
2188,6296,81040,12.7
2189,6179,58674,20.9
2190,7038,85053,10
2191,3501,73948,11.5
2199,743,82238,23.7
2203,27,-,100
2210,1543,170152,3.7
2215,7463,43403,39
2301,21042,47724,28.5
2302,11158,63718,20
2322,1574,69709,13.6
2324,7897,88640,11.9
2330,4460,73904,14.4
2332,5427,123613,7.5
2333,4854,86568,7.6
2338,2850,77993,13.2
2339,4980,111311,12.1
2341,3720,96389,9
2343,4257,67589,12.3
2346,9078,79811,11.5
2347,3956,97990,8.2
2351,6236,91643,11.3
2356,4395,113783,7.9
2357,24,-,0
2359,6464,101447,5.9
2360,22468,83746,12.1
2364,4758,89796,12.7
2366,0,-,0
2367,1005,87438,10.6
2368,12226,70163,17.4
2370,6853,77573,10.4
2375,3656,94457,6.8
2379,2469,85368,9.8
2382,5380,79705,13.3
2420,5058,168065,6.8
2421,6697,158554,9.3
2445,8473,111642,13.4
2446,13301,102342,15.3
2451,7346,94886,11.4
2452,5112,87055,11.3
2453,11244,73042,17.6
2457,0,-,0
2458,4942,103978,8.2
2459,6680,169963,10.4
2460,3722,118148,8.6
2461,2683,159517,3.9
2462,612,104375,22
2464,1247,102946,10.1
2465,4296,137438,8
2466,2820,115345,12.9
2467,6181,119964,9.8
2468,1924,212394,2.5
2472,15233,92959,12.2
2474,11400,104583,11.2
2476,7232,101713,12.3
2478,9708,118342,9.5
2481,4736,187819,7.6
2482,3922,160644,7.1
2492,7063,147375,8.1
2493,3764,196651,9.8
2494,3589,126866,7.9
2532,5685,75502,15.3
2534,277,88844,5.1
2535,468,79792,18
2536,8094,67880,15.6
2537,2430,95966,9.1
2538,1440,67993,16.4
2539,1597,75404,9.9
2540,3974,70758,25
2542,278,48750,15.1
2543,432,92188,8.4
2553,35,-,40
2554,3651,92327,9.2
2556,1383,83659,4.3
2557,1684,66091,15
2558,464,33679,29.3
2559,1818,71741,18
2561,170,-,42.4
2562,1244,86310,7
2563,3854,84087,9.2
2564,100,-,5
2568,1442,48869,20.5
2571,4578,59449,19.9
2575,930,92188,10.5
2576,1899,84497,17.9
2584,10,-,0
2601,6319,46821,27.7
2630,839,106299,8
2631,4267,69606,17.2
2632,4336,80072,12.1
2633,1921,76793,18.9
2635,1556,62021,17.1
2637,56,142692,0
2638,1514,70850,15.2
2639,1553,44787,25
2641,101,-,16.8
2642,2446,62143,17.3
2643,0,-,0
2644,1512,92286,13.9
2645,4260,78077,16.4
2646,887,62933,21.2
2647,74,-,0
2648,2696,82406,14.2
2649,6279,73841,13.8
2650,375,77991,8.6
2651,0,-,0
2652,439,60250,9.1
2653,2895,61506,22.1
2655,1468,75000,16.3
2657,1772,47500,28.5
2659,481,57540,19.6
2660,3202,54924,20.7
2663,47,61875,0
2664,4176,56242,19.2
2666,357,63306,28.9
2667,1456,57667,26.4
2668,1209,94250,10.3
2669,48,89737,0
2670,661,63675,13
2671,456,60000,19.5
2672,135,-,0
2673,3723,70736,14
2675,3031,68638,16.4
2702,1516,94773,9.7
2703,17094,70136,17.3
2713,12,-,8.3
2715,1303,98112,9.9
2717,1689,81123,10.5
2718,2287,93034,12.8
2719,6506,62090,21
2720,13223,47992,27.9
2721,10897,33383,41.3
