intensity,latitude,longitude
1026,44.222416,-71.877173
287,44.21841,-71.80024
704,44.62304,-71.211846
405,44.715053,-71.530115
568,45.116236,-71.26111
203,44.301396,-71.299834
287,44.305266,-71.497376
143,44.744941,-71.381331
193,43.238837,-72.286124
1077,43.140833,-72.347571
141,43.127324,-72.376844
412,43.236564,-72.184869
188,43.19651,-72.268353
1176,43.076442,-72.395967
314,43.143935,-72.446448
277,44.184481,-71.978837
614,43.476437,-72.33413
108,43.494319,-72.257433
250,43.721023,-72.185207
231,43.449741,-72.09229
271,43.272092,-72.101033
1159,43.51659,-72.149093
76,43.377461,-72.13839
231,44.035225,-72.050198
661,43.816634,-72.094295
147,43.531294,-72.258811
316,44.296605,-71.980684
732,44.089733,-71.996581
547,43.883333,-72.033845
352,43.961851,-72.001293
218,44.0467,-71.989127
773,43.560058,-72.299358
841,44.04352,-71.912217
785,43.512559,-71.294893
321,44.08113,-71.297237
1077,43.770937,-71.181505
546,43.682231,-71.251209
377,43.88717,-71.229402
601,43.174607,-70.941453
1052,42.890001,-71.130679
841,43.614118,-70.993555
178,43.90696,-71.04752
587,43.842036,-71.075161
656,43.422251,-71.336087
533,44.110671,-71.223276
896,42.924811,-70.886242
580,44.099842,-71.118142
455,44.18762,-71.155763
201,44.07198,-71.123943
528,43.902455,-71.129871
169,43.690629,-71.297611
191,43.495003,-70.986034
257,43.642849,-71.282793
467,43.062147,-70.717071
995,43.463687,-71.15214
540,43.038509,-70.967954
727,43.689932,-71.10344
1020,43.219815,-70.843107
45,42.980948,-70.777362
529,43.895078,-71.189275
602,43.746733,-71.04191
53,43.808767,-71.320045
911,43.864038,-71.296068
731,43.499649,-71.073833
149,43.800586,-71.201475
970,43.214916,-70.628806
921,43.086194,-70.686846
668,43.255761,-70.610716
163,43.185364,-70.603266
45,43.142293,-70.626458
1025,43.521206,-70.91767
174,43.727261,-69.956899
106,43.444292,-70.34457
1185,44.044224,-69.863781
553,43.930799,-70.918584
237,43.738955,-70.088396
14,43.685927,-70.102982
573,43.767186,-70.808863
375,43.996209,-70.813737
229,43.83632,-70.685245
701,43.902531,-70.689568
1057,43.589061,-70.696276
614,43.848997,-70.830764
763,43.733357,-70.894042
1175,43.688481,-70.781883
118,43.685939,-70.153919
403,44.192471,-70.885803
133,43.659542,-70.8835
19,44.101552,-70.698919
1101,43.633558,-70.739479
316,43.500389,-70.395326
318,43.765547,-69.966981
546,43.837898,-70.946568
634,43.903914,-70.182018
1093,43.554017,-70.832796
804,43.77332,-70.616514
607,43.568795,-70.743997
585,44.202838,-70.722272
330,43.839321,-70.744838
543,43.62861,-70.913904
396,43.660278,-70.186053
47,43.679741,-70.252882
557,43.746027,-70.180065
176,44.679659,-70.846517
1194,44.378536,-70.816256
595,44.400747,-70.55811
1096,44.34262,-70.34744
317,44.481538,-70.277339
949,44.561357,-70.413727
73,44.594476,-70.692505
30,44.568123,-70.293139
30,44.433489,-70.11525
109,44.263058,-70.875477
50,44.623827,-70.191895
83,44.4945,-70.734421
489,44.209257,-70.388878
847,44.411638,-70.216186
240,44.345792,-70.655701
1145,44.104897,-70.40468
968,44.553098,-70.49526
923,44.13794,-70.336334
155,44.565568,-70.962661
851,44.295351,-70.133074
479,44.279255,-70.042845
16,44.206591,-70.792354
0,44.263611,-70.49819
131,44.702596,-70.647585
440,44.362503,-70.06123
181,44.697513,-70.448975
46,44.401438,-70.865079
637,44.319278,-70.522647
501,44.460915,-70.451923
346,44.385909,-70.449596
731,44.086173,-69.736988
42,44.328707,-69.891691
862,44.237286,-69.751247
1127,44.287241,-69.81804
1154,44.210864,-69.499152
426,44.434007,-70.067034
1058,44.342427,-69.861935
687,44.466488,-69.96045
938,44.198014,-69.619689
649,44.396114,-69.43063
1060,44.384388,-69.9502
181,44.177785,-69.76259
206,44.554819,-69.999683
1023,44.315485,-69.571186
305,45.229183,-69.596521
75,45.172014,-68.264657
432,45.08826,-68.906681
639,44.868377,-68.586353
105,45.562747,-67.75117
563,45.44288,-69.114639
109,45.400376,-69.057877
124,45.231514,-68.341886
675,45.090492,-68.466634
1055,44.800454,-69.003117
308,44.409006,-68.815533
461,45.077652,-69.031432
306,45.680311,-67.876199
990,44.980538,-69.01088
1180,44.8058,-68.554003
827,45.636841,-68.575197
19,44.560978,-68.672727
432,44.763866,-69.128068
432,44.963225,-69.125005
439,44.598953,-68.928337
870,45.905621,-69.295834
7,45.502076,-69.726501
1020,45.227773,-69.353261
538,45.296196,-68.71106
617,44.992636,-68.888475
453,44.916049,-68.927991
119,45.60701,-68.222173
292,45.16225,-68.760531
10,45.552976,-67.581444
336,45.299422,-68.259742
1091,44.876816,-68.996651
417,45.588735,-68.339985
503,45.712888,-68.521326
1193,44.954787,-68.582438
259,45.432794,-69.300953
0,44.901066,-68.668303
296,45.916545,-67.856824
932,44.57632,-68.669915
223,45.183587,-68.589614
567,44.482703,-68.705997
165,45.882059,-69.854601
616,45.124208,-69.287058
201,45.245979,-69.092775
87,45.35804,-69.630292
382,45.387737,-68.104471
523,44.87164,-69.113926
127,44.910362,-68.690189
128,45.436636,-67.867623
65,45.573159,-67.470651
66,45.367045,-67.681322
791,45.236824,-68.524576
231,45.477433,-68.33898
162,45.75461,-68.060944
310,44.098468,-69.629176
921,43.875449,-69.620688
1003,43.851505,-69.627611
498,43.973542,-69.501972
27,43.894242,-69.476881
925,44.022351,-69.490756
301,43.844446,-69.582305
415,43.978605,-69.332584
435,43.833447,-69.738561
346,43.98007,-69.430381
786,44.052277,-69.567522
415,43.862733,-69.512324
760,44.101248,-69.482658
527,43.975989,-69.610952
93,43.885127,-69.514471
1035,43.770829,-69.819164
585,44.013922,-69.258706
258,43.921687,-69.464934
253,43.871824,-69.558279
0,43.808546,-69.630765
234,43.896656,-69.67417
246,43.951357,-69.55233
587,44.260639,-69.391524
34,43.85215,-69.662201
327,43.813339,-69.662868
516,44.540726,-67.712364
469,44.467048,-68.086866
182,44.466957,-67.612596
234,44.23153,-68.414514
55,44.376983,-68.029882
363,44.261324,-68.540355
346,44.350024,-68.766477
587,44.751766,-67.964777
389,44.744526,-67.733623
85,44.423951,-67.985876
44,44.256442,-68.266458
238,44.669023,-67.22199
735,44.23701,-68.607845
277,44.87399,-67.274401
37,44.422694,-68.506049
576,44.866496,-67.474781
711,44.910958,-67.008913
793,44.650967,-68.221271
9,44.172234,-68.351482
80,45.19614,-67.818718
980,44.524572,-68.28525
42,44.330584,-68.809947
421,44.538027,-67.818538
0,44.413835,-68.252076
17,44.066574,-68.61575
36,44.245561,-68.224952
284,44.665504,-67.59497
594,44.54711,-67.48983
108,44.292625,-68.722885
839,44.819713,-67.062328
269,44.209467,-68.334648
391,44.655762,-67.378971
145,44.96493,-67.426383
630,44.50782,-67.877963
531,44.335753,-68.345729
256,44.300939,-68.292433
446,44.539656,-68.119741
536,44.980584,-67.223672
595,44.983542,-67.101382
670,45.212926,-67.585966
79,44.40825,-68.014884
250,45.067341,-67.149953
71,44.317252,-68.680481
182,44.274254,-68.458828
116,44.301347,-68.251148
435,44.34688,-68.634365
145,44.476822,-68.181506
791,44.278734,-68.324541
567,44.478414,-67.947062
513,44.150464,-68.645327
47,44.245207,-68.787813
701,44.467462,-68.507329
197,44.151687,-68.465212
49,44.996537,-67.694027
144,44.760322,-67.255047
216,44.376372,-68.093638
999,45.115083,-67.477541
763,46.666291,-68.569433
116,45.752446,-68.402266
319,46.470887,-67.953131
249,46.414672,-67.860722
357,46.995906,-68.672927
498,46.633304,-67.847623
3,47.453712,-69.222921
393,47.282101,-68.388783
238,47.251015,-68.142962
573,46.004979,-68.233782
739,46.954967,-67.857437
554,46.559272,-67.853225
302,46.339357,-67.955202
224,46.117239,-67.975572
248,46.958248,-68.124731
278,46.075083,-68.114975
26,46.398929,-68.585323
578,46.159773,-68.593879
160,46.892463,-68.21578
175,46.82565,-68.865654
395,47.230084,-68.311449
287,47.267434,-68.223039
297,47.07704,-69.1545
406,45.871695,-68.324753
189,45.842521,-68.501076
162,47.134512,-68.331897
302,46.237652,-68.27355
213,47.150199,-68.613495
202,47.040124,-68.17505
972,47.131861,-67.977959
836,46.794921,-68.192051
213,46.533465,-67.966076
605,44.241178,-69.188513
351,44.298888,-68.915242
36,43.853412,-68.91082
26,43.767426,-69.310059
233,44.136346,-68.866756
686,44.075512,-69.079856
110,43.93836,-69.264531
553,44.046511,-69.154059
353,43.999115,-69.144355
690,43.866343,-69.321972
518,44.068815,-68.853314
784,44.508426,-69.445189
879,44.769927,-69.972548
350,44.980705,-69.689878
979,44.487731,-69.838639
185,44.516779,-69.86648
757,45.142341,-69.854458
689,44.560894,-69.136548
535,44.673999,-69.38646
227,45.029009,-69.445746
903,44.782176,-69.546316
43,45.212387,-69.903429
32,44.480122,-69.513888
845,44.943471,-69.258242
341,44.773091,-69.301537
549,44.697571,-69.143703
24,44.816495,-69.231348
80,45.355011,-70.65743
482,45.077258,-69.158771
0,44.623994,-70.083293
628,44.470053,-69.284182
591,45.077023,-69.586446
709,44.879823,-69.5205
57,44.686891,-69.643928
458,45.869605,-70.266055
650,45.04929,-70.268771
390,44.369093,-69.336
438,44.607217,-69.071281
833,44.412796,-69.154791
566,44.647207,-69.993337
304,44.798568,-70.096757
823,44.896903,-69.917316
412,45.137862,-70.144096
70,44.489067,-69.625944
71,44.866916,-70.774098
826,44.843151,-69.368356
742,44.814698,-70.427313
521,44.785282,-69.236277
674,45.007913,-70.618162
779,44.92968,-69.391278
586,44.368252,-69.186292
0,44.625354,-69.588334
281,44.641819,-69.79989
381,44.93938,-69.808142
1078,44.514019,-68.83905
215,45.098126,-70.430547
640,44.925633,-70.286451
270,44.696586,-70.267203
25,45.369441,-69.931095
675,44.54946,-69.211292
416,44.674148,-69.251844
781,44.570148,-69.362441
109,44.663657,-70.162677
39,43.702743,-72.59836
986,43.80158,-72.65776
1187,44.012176,-72.158296
143,43.574523,-72.643233
287,43.611552,-72.686042
467,44.023908,-72.587891
211,43.457741,-72.493459
552,43.989747,-72.454953
472,44.063294,-72.313078
217,44.069894,-72.198721
136,43.956602,-72.538568
192,44.222165,-72.096756
424,43.805093,-72.204671
861,43.91801,-72.180241
441,44.232453,-72.257516
49,44.266924,-72.064037
717,44.104485,-72.121743
79,43.596986,-72.359722
184,43.719447,-72.489225
203,43.508851,-72.693755
149,43.881557,-72.272467
173,43.637817,-72.427734
481,43.916755,-72.570182
281,43.496493,-72.599969
433,43.782477,-72.423363
108,43.677358,-72.518066
207,44.204072,-72.131204
232,43.851617,-72.343298
58,43.561557,-72.546333
223,43.898745,-72.372069
455,43.845279,-72.285782
173,44.141854,-72.230959
533,43.908796,-72.459306
