intensity,latitude,longitude
4642,42.156203,-71.430345
3100,42.173103,-71.363756
3183,42.11366,-71.33756
3632,42.164569,-70.818844
11757,42.187364,-71.195971
6650,42.202273,-70.758184
6220,42.1076,-71.181828
300,42.103425,-71.273589
10724,42.119006,-71.10365
7027,42.147042,-71.269965
5528,42.219645,-71.216768
4076,42.052671,-71.356858
3202,42.350518,-71.059077
4370,42.365331,-71.055233
9258,42.337105,-71.105696
12514,42.337582,-71.070482
17056,42.334992,-71.039093
8931,42.379657,-71.061487
16336,42.309174,-71.113835
12480,42.284333,-71.126228
11333,42.280455,-71.162017
13542,42.379637,-71.135152
14094,42.362986,-71.103353
8891,42.392157,-71.133996
6437,42.3703,-71.08256
1326,42.361994,-71.081588
11238,42.381407,-71.096714
10792,42.399655,-71.12255
7747,42.373055,-70.974807
22474,42.423844,-71.109231
7766,42.266415,-71.015576
7631,42.293327,-71.018193
11481,42.455723,-71.059019
9062,42.474208,-71.097665
14017,42.206188,-71.00232
8970,42.241559,-71.082437
6296,42.204662,-70.957633
7038,42.166731,-70.952363
3501,42.243453,-70.942033
27,42.360588,-71.058737
1543,42.347472,-71.039271
7463,42.347635,-71.103082
1574,42.132461,-71.054013
7897,41.972376,-70.978773
4460,41.875179,-70.746715
5427,42.044407,-70.70606
4854,42.037116,-70.942178
4980,42.122956,-70.85631
3720,42.05024,-70.867359
4257,42.140346,-70.997861
9078,41.878004,-70.869267
3956,41.834384,-70.956826
6236,42.115764,-70.956597
4395,42.060539,-71.119671
24,42.054978,-71.080651
6464,42.067804,-70.805713
22468,41.882062,-70.631289
4758,41.987196,-70.741942
0,41.850984,-70.654984
1005,41.9591,-70.802753
12226,42.176092,-71.052043
6853,42.130399,-70.910615
3656,42.00569,-71.078041
2469,42.021617,-71.026717
5380,42.078974,-70.93939
5058,42.457055,-71.215464
6697,42.438547,-71.239573
8473,42.325483,-71.135045
13301,42.343499,-71.122244
7346,42.397825,-71.255701
5112,42.392438,-71.213912
11244,42.369542,-71.240513
0,42.299388,-71.274242
4942,42.353585,-71.188192
3722,42.351824,-71.20849
2683,42.317362,-71.206508
612,42.328708,-71.2559
1247,42.312975,-71.218882
4296,42.348912,-71.22633
2820,42.344457,-71.248617
6181,42.314321,-71.152778
15233,42.369451,-71.177925
11400,42.420949,-71.15637
7232,42.415637,-71.17567
9708,42.395317,-71.180284
7063,42.276483,-71.243714
3589,42.29949,-71.232519
5685,41.751759,-70.597552
468,41.337961,-70.761674
8094,41.596293,-70.56747
2430,41.728421,-70.43581
1597,41.377655,-70.52208
3974,41.573891,-70.632042
432,41.478974,-70.766911
35,41.712526,-70.620747
3651,41.291072,-70.093329
1383,41.639447,-70.624515
1684,41.441713,-70.576143
1818,41.690243,-70.616283
1244,41.787209,-70.526717
3854,41.728137,-70.476549
100,41.27194,-69.984473
