intensity,latitude,longitude
1893,43.982445,-69.692754
5833,44.672809,-68.391841
516,44.540726,-67.712364
2329,44.39747,-68.263808
1378,45.142952,-67.217529
587,44.751766,-67.964777
735,44.23701,-68.607845
277,44.87399,-67.274401
576,44.866496,-67.474781
711,44.910958,-67.008913
594,44.54711,-67.48983
839,44.819713,-67.062328
446,44.539656,-68.119741
536,44.980584,-67.223672
595,44.983542,-67.101382
435,44.34688,-68.634365
145,44.476822,-68.181506
567,44.478414,-67.947062
513,44.150464,-68.645327
701,44.467462,-68.507329
4114,46.014769,-68.028159
763,46.666291,-68.569433
498,46.633304,-67.847623
1612,46.776241,-67.859197
1981,47.200266,-68.614333
238,47.251015,-68.142962
739,46.954967,-67.857437
1224,46.667651,-68.168621
554,46.559272,-67.853225
302,46.339357,-67.955202
578,46.159773,-68.593879
160,46.892463,-68.21578
4102,46.688952,-67.991914
406,45.871695,-68.324753
189,45.842521,-68.501076
302,46.237652,-68.27355
972,47.131861,-67.977959
3567,44.134001,-69.133525
1304,44.107714,-69.171425
1564,44.12801,-69.243885
11477,44.541078,-69.573081
350,44.980705,-69.689878
3836,44.463502,-69.037571
757,45.142341,-69.854458
535,44.673999,-69.38646
227,45.029009,-69.445746
341,44.773091,-69.301537
1857,45.027572,-69.31797
2565,44.651655,-69.661275
591,45.077023,-69.586446
709,44.879823,-69.5205
458,45.869605,-70.266055
390,44.369093,-69.336
2143,44.826354,-69.799713
2988,44.56033,-69.857434
1515,44.769837,-69.433753
779,44.92968,-69.391278
586,44.368252,-69.186292
1294,44.470906,-68.928662
4467,44.789271,-69.667734
381,44.93938,-69.808142
416,44.674148,-69.251844
1660,44.429335,-69.648294
467,44.023908,-72.587891
552,43.989747,-72.454953
472,44.063294,-72.313078
424,43.805093,-72.204671
861,43.91801,-72.180241
203,43.508851,-72.693755
1925,43.967072,-72.708604
281,43.496493,-72.599969
433,43.782477,-72.423363
455,43.845279,-72.285782
173,44.141854,-72.230959
533,43.908796,-72.459306
253,44.122587,-72.065912
1907,43.182144,-72.493221
280,43.397517,-72.580475
3634,43.310627,-72.461623
443,43.084054,-72.469725
1550,43.103837,-73.173296
635,43.264151,-73.063677
950,42.97375,-73.07524
7439,42.83868,-72.659997
348,43.102664,-72.820014
840,42.764133,-72.522086
73,42.773345,-72.705469
12246,44.476621,-73.209998
164,44.757187,-72.671334
1836,44.332701,-73.087409
681,44.102761,-73.155209
2993,44.921329,-73.125393
4087,44.429166,-73.09631
6911,44.188842,-72.472172
432,44.409482,-72.259129
670,44.282307,-72.489262
1238,44.624262,-72.570417
8893,43.624577,-72.910204
574,43.981724,-73.331937
297,43.619033,-73.013392
132,44.005291,-72.841314
133,43.905329,-72.918171
184,43.804081,-72.836973
1200,43.730204,-72.99523
455,43.881953,-73.324504
786,44.96721,-72.068265
2549,44.557132,-72.08059
240,44.895936,-71.941265
725,44.966671,-72.443035
1128,44.80266,-72.103996
113,44.318185,-72.216116
586,44.689305,-71.936955
538,44.483097,-71.720449
130,42.017229,-73.104821
505,41.612592,-72.720093
13470,41.688039,-72.793469
294,41.974681,-73.007663
9116,41.780375,-72.623945
4855,41.732684,-72.733605
9436,41.740854,-72.670695
1812,41.897123,-72.171427
12409,41.354409,-72.040266
1855,41.518652,-72.006597
3732,41.363472,-71.853197
1083,41.563417,-72.051631
4249,41.468946,-72.122739
6974,41.344249,-73.069825
1078,41.510944,-72.443166
21140,41.317022,-72.927244
14915,41.318534,-72.869924
6732,41.328039,-72.97084
15947,41.21211,-73.206673
2760,41.170744,-73.168038
4392,41.186475,-73.181251
8505,41.209221,-73.164656
7273,41.171614,-73.13216
5080,41.532212,-73.025096
10718,41.550619,-73.071234
1033,41.849537,-73.234002
3139,41.67108,-73.085047
18457,41.374284,-73.457611
10780,41.08391,-73.426615
25213,40.66253,-74.110192
10577,40.822045,-73.987945
13543,40.772111,-74.207065
10682,40.755829,-74.217824
5411,40.82465,-73.973793
5515,40.82111,-74.003032
16658,40.85064,-73.971007
11265,40.879797,-74.10825
21932,40.794163,-74.024947
11733,40.76804,-74.235692
14235,40.616667,-74.422042
3921,40.632358,-74.401184
23559,40.767352,-74.032313
1232,40.717889,-74.286169
23607,40.788101,-74.01144
18365,40.767713,-74.16835
16692,40.723066,-74.138636
20108,40.723859,-74.232522
9359,40.709409,-74.20955
8332,40.671272,-74.177358
13131,40.652464,-74.216853
7806,40.652211,-74.260158
7257,40.695889,-74.2288
15454,40.716502,-74.072599
22265,40.698149,-74.080976
20212,40.734924,-74.071875
15789,40.75088,-74.056854
4413,40.918573,-74.194089
5193,40.897548,-74.154121
1052,40.916327,-74.171643
3440,40.906182,-74.148686
